balcony,walls,total_area,district,year,cost,description,lon,lat,type_house,repair
1.0,Монолитный,29,Уктус,2017.0,2150000,"СОБСТВЕННИК ! ! ! Продается уютная и очень светлая 1 комнатная квартира в ЖК Тихий берег В 1 СЕКЦИИ ОДНОПОДЬЕЗДНОЙ., А НЕ ВО 2, 3 , КОТОРЫЕ НА ДОРОГЕ."" Шикарный вид на город с большой панорамной лоджии! Огороженная территория дома. Продуктовые магазины, аптеки и кафе - все это в доме. Так же есть детская площадка и две парковки (наземная, подземная - спуск прямо из дома!)",60.666636,56.7824,Индивидуальная,В
1.0,Кирпичный,40,С.Сортировка,2013.0,2750000,Продается отличная 1 -к квартира площадью 40 м2,60.507257,56.884355000000006,,В
1.0,Панельный,27,Н.Сортировка,1977.0,2300000,"Продаётся отличная однокомнатная квартира на 5 этаже 9-ти этажного дома в тихом районе Новой Сортировки. Высота потолков 2,5. Выполнен хороший ремонт. Балкон застеклен. Очень теплая квартира. Установлены счётчики на воду и свет. При продаже остается всё, что видите на фото за исключением стиральной машины и телевизора. Просторный и зеленый двор. В пешей доступности все необходимые магазины. В шаговой доступности остановки общественного транспорта во все районы города. Не далеко ТЦ ""Карнавал"", Оби. 10-15 минут на авто до Ж/Д вокзала. Звоните и записывайтесь на просмотр! Возможно одобрение ипотеки с экономией до 400 000 руб.",60.55974499999999,56.871247,,
1.0,Монолитный,34,Пионерский,2019.0,3485000,"Последние квартиры в Жилом доме ""Культура""!!!",60.639534,56.856958,,В
1.0,Монолитный,31,Широкая Речка,2016.0,2160000,Продается готовая квартира студия с двумя окнами в ЖК Перемена.,60.49186,56.795121,Улучшенной,В
1.0,Монолитный,37,Широкая Речка,2015.0,3100000,"Продам 1-комнатную квартиру удобной планировки в самом начале микрорайона Широкая речка. Квартира светлая, теплая, сделан качественный ремонт: на полу ламинат, обои под покраску.Большой балкон является большим преимуществом, дополнительное место отдыха. Имеется просторная гардеробная. В микрорайоне отличная инфраструктура, под окном детский сад. Великолепная природа под окном!!! Приглашаем на просмотр, если у вас еще не продана ваша недвижимость, возможно, у нас уже есть на нее покупатель!!!",60.514713,56.810507,Улучшенной,В
,Кирпичный,22,Автовокзал,1985.0,1950000,"Продается уютная квартира-студия, с отличным ремонтом, дополнительных вложений не требует. Прекрасное предложение для молодой семьи. Развитая инфраструктура: рядом детские сады, школы, детская поликлиника, супермаркеты, ТРЦ. Удобная транспортная развязка, все в шаговой доступности: остановки общественного транспорта, метро Чкаловская, Ботаническая. В квартире остается кухонный гарнитур, два вместительных шкафа-купе, кровать. Один собственник, арестов и обременений нет.",60.63031700000001,56.805461,Студия,Хорошее
1.0,Кирпичный,49,Уктус,2013.0,3690000,Хорошие новости!,60.634449,56.783954,,
1.0,Панельный,34,Ботанический,2002.0,3600000,"Продается полностью меблированная современная квартира на Ботанике в доме 2002 года постройки. Готова к проживанию: большой шкаф-купе, кухонный гарнитур с необходимой техникой, холодильник - в отличном состоянии! Просторная лоджия полностью в дереве, хорошие пластиковые окна. Во дворе закрытая детская площадка (одна из лучших в районе), за домом большая закрытая парковка. Чистый подъезд и лифт, спокойные соседи. В 10 метрах от подъезда остановки автобусов и троллейбусов, метро в 10 мин. ходьбы. По близости несколько продуктовых магазинов, в т.ч. гипермаркет ОКЕЙ, аптеки, школа, детский сад.",60.615396,56.793538,,Хорошее
1.0,Монолитный,36,Академический,2018.0,2720000,"Новый дом.Чистовая отделка. Вся сантехника, включая раковину на кухне. В ванной установлена электросушилка, сделаны подключения под стиральную машину, приточная вентиляция, замки на окнах, регуляторы на батареях, счётчики на тепло и воду(автоматический передают показания),окна на юг, 2-й подъезд, подземный паркинг, детская площадка, 2 совершеннолетних собственника, ипотека возможна.",60.52772,56.778135,,В
1.0,Монолитный,50,Автовокзал,2013.0,5200000,"Продам новую квартиру в ЖК ""Солнечный остров"". Сделан дизайнерский ремонт, делали ПОД СЕБЯ, НЕ ОТ ЗАСТРОЙЩИКА! Натяжные потолки, теплые полы, инсталяция, сантехника, кухонный гарнитур, шкаф-купе, деревянные двери, на лоджии выложена плитка. Вся инфраструктура в шаговой доступности. Рядом две элитные гимназии, детские сады. 5 минут до метро. В квартире никто не жил. Отличный двор с детской площадкой и зоной отдыха. Закрытая территория. ТОРГ!",60.610734,56.803633,Улучшенной,В
1.0,,36,Карасьеозерск,2015.0,2999999,"Продам квартиру-студию в престижном поселке Карасьеозерск 2. Квартира светлая, уютная, теплая, в идеальном состоянии. Выполнен ремонт современными качественными материалами. Имеется гардеробная. Вся мебель, бытовая трехника остается будущим хозяевам в ПОДАРОК!!! Заезжай и живи!!! Закрытая охраняемая территория, вьезд строго по пропускам, парковка для автомобиля (открытая и подземная), большие детские площадки (качели, песочницы, батуты и тд.), собственный лес и несколько мангальных зон. Высота потолков - 3 метра! Так же имеется большая лоджия, на которой с комфортом можно проводить время! От поселка каждый час курсирует бесплатный автобус до центра города (остановка Гринвич) и обратно. Приглашаю на просмотр!!!",60.407768,56.826503,Студия,В
1.0,Панельный,27,Ю-З,1974.0,2480000,Продам замечательную 1-к. квартиру в благополучном доме,60.579499,56.799641,,В
1.0,Кирпичный,41,Завокзальный,2008.0,2350000,"Продаётся квартира в кирпичном доме. Хорошее состояние, пластиковые окна, железная дверь.",60.577029,56.865402,,Хорошее
1.0,Панельный,28,Уктус,1990.0,2100000,"Солнечная квартира улучшенной планировки, с видом на Уктусские горы и реку.",60.63475500000001,56.773395,Улучшенной,В
1.0,Панельный,35,Автовокзал,1979.0,3050000,Чистая продажа. Один собственник. Подробнее по телефону.,60.621972,56.810635,Улучшенной,
,Кирпич,31,Широкая Речка,2018.0,2500000,ID объекта в нашей базе: 533,60.485158,56.790551,Студия,В
1.0,Кирпичный,31,Лечебный,1972.0,1670000,"Продаётся отличная квартира в кирпичном доме по оптимальной цене!!! Квартира светлая, уютная, сделан косметический ремонт, в комнате два окна. Отличная планировка, удобная для комфортного расположения мебели. Дом расположен в тихом, экологически чистом районе. Крыша не протекает. Жильцы хорошо отзываются о состоянии кровли. Соседи все приличные, спокойные люди. Один совершеннолетний собственник, документы в полном порядке. Звоните, всё подробно расскажу и покажу квартиру. Помощь в оформлении ипотеки.",60.7083,56.81034,,
1.0,Монолитный,38,Академический,2014.0,2940000,"Продам 1-комнатную квартиру удобной планировки в микрорайоне Академический. Квартира светлая, теплая, уютная. Ремонт от застройщика, есть возможность сделать квартиру ""под себя"". Планировка - распашонка, окна на обе стороны. Вся необходимая инфраструктура в шаговой доступности: детские сады, школы, магазины, кафе, торговый центр. Остановки общественного транспорта около дома. Приглашаем на просмотр, если у вас еще не продана своя квартира, возможно, у нас уже есть на нее покупатель!!!",60.52887,56.788164,Улучшенной,В
1.0,Монолитный,37,Широкая Речка,2014.0,2750000,"В продаже 1-комнатная квартира, расположенная в жилом комплексе Мичуринский/",60.467776,56.788061,,В
1.0,Монолитный,39,Автовокзал,2015.0,4090000,"На продаже 1 комнатная квартира по функционалу евро-двухкомнатная , кухня- гостиная и спальня",60.620175,56.810827,,
1.0,Монолитный,40,Академический,2013.0,2670000,"ПРОДАЕТСЯ или МЕНЯЕТСЯ: отличная, теплая 1- комнатная квартира площадью 40 м2 в современный жилой комплексе.",60.509386,56.795416,,
,Кирпичный,43,Центр,1962.0,3700000,ID объекта в нашей базе: 59,60.616276,56.850019,,Требует
1.0,Кирпичный,32,ВИЗ,1976.0,2750000,"Предлагаем к продаже однокомнатную квартиру недалеко от Центрального стадиона. В шаговой доступности Мегамарт, Пятерочка, Монетка. Рядом остановка транспорта. Квартира на 2м этаже 9этажного кирпичного дома. В квартире тепло зимой, стены толстые, около 1м. На полу ламинат. Пластиковые окна. В доме недавно были поменяны стояки ГВС, ХВС. Соседи тихие, спокойные, живут здесь много лет. Никто не пьет, не шумит. Секция на 3 квартиры закрыта на железную дверь. Рядом Верх-Исетский пруд, ул. Татищева, соединенная с проспектом Ленина. Удобная инфраструктура, велодорожки, центр города. Окна во двор. Восточная сторона. Оформление сделки у нотариуса за наш счет, 100% юридически чистая продажа. Без агентств.",60.563833,56.830861,Улучшенной,Хорошее
1.0,Кирпичный,36,ВИЗ,2002.0,3380000,Однокомнатная квартира готова встретить новых хозяев.,60.56125400000001,56.837987,,
1.0,Панельный,32,Пионерский,,3150000,Отличная квартира в спецпроекте!!!,60.635725,56.863926,,Требует
1.0,Кирпичный,31,Эльмаш,,2300000,"Продаю однокомнатную квартиру на Эльмаше по ул. Бабушкина общей площадью 31 м2 на втором этаже с застекленным балконом . Дом находится рядом с Администрацией района вблизи с метро .Рядом с домом сетевые магазины , аптеки ,школы №66.67 и гимназия №99 , дет.сад и поликлиника.Небольшая цена для молодой семьи или студента.В пешей доступности педагогический институт. Рассмотрю продажу также и в ипотеку.Тихий двор имеется возможность парковки.Соседи по площадке и в подьеде адекватные.В квартире остается вся мебель.",60.62366899999999,56.887703,,
,Кирпичный,29,Эльмаш,1980.0,1655000,"Предлагаем к продаже полноценную 1-комнатную квартиру: просторная комната, стандартный совмещенный с/узел (ванная, раковина, унитаз, так же есть место для установки стиральной машины). Дом расположен в шаговой доступности от остановок общественного транспорта (2-3 мин). Двор тихий, детская площадка, зеленые насаждения. Соседи адекватные, в основном, молодые семьи с детьми, работающие. В квартире сделан косметический ремонт, окна пластиковые, сейф-двери новые. В с/узле плитка. Остается шкаф-купе средних размеров, кухня, современная газовая плита Zanussi. Выгодная покупка (полноценная квартира в кирпичном доме за минимальную стоимость). Один собственник. СРОЧНО!",60.64075500000001,56.900388,,
1.0,Другой,36,С.Сортировка,2011.0,2700000,"ПРОДАЕТСЯ ОТЛИЧНАЯ КВАРТИРА! Комната 17,3 кв.м, кухня 10,4 кв.м, санузел+ванная 4 кв.м, прихожая 4,7 кв.м, лоджия 5 кв.м.",60.510401,56.881497,,
1.0,Другой,27,Пионерский,1979.0,2450000,"Продаётся уютная однокомнатная квартира в хорошем районе. В квартире сделан качественный ремонт, натяжные потолки, бельгийский ламинат, санузел в кафеле, балкон застеклен, отделан, крыша не течёт, кровля в отличном состоянии (кого смущает 5 этаж). Ремонт делался для себя,не для продажи. В квартире остаётся кухонный гарнитур, новая газовая плита Bosh. Квартира готова к проживанию, заезжай и живи. За дополнительную плату можно оставить шкаф-купе. Установлены новые счетчики ГВС, ХВС. Рядом с домом находятся детские сады, магазины, больницы, торговые центры, остановки общественного транспорта в любые точки города",60.64566,56.85981700000001,,
,Панельный,28,Эльмаш,1970.0,2100000,"Все необходимое рядом: магазины, супермаркеты, аптеки, школы и дошкольные учреждения, остановки общественного транспорта. Двор тихий и уютный, оборудованный скамейками. Квартира идеально подойдет для пожилых людей. Во дворе есть скамейки. Можно выйти на улицу и подышать свежим воздухом. Хороший вариант для тех, кто проживает один. В доме много молодежи. Квартира идеально подходит для студентов. Оптимальное жилье для каждого независимо от возраста, профессии и привычек. Плюс квартиры – относительно небольшая цена и огромный простор для фантазии дизайнера или самого владельца! Панельные дома – самое доступное по цене жилье на сегодняшний день Продается уютная однокомнатная квартира При продаже остается кухонный гарнитур со встроенной бытовой техникой. Возле дома всегда есть свободные парковочные места, вы можете смело приглашать гостей! Всегда чисто, моют этажи каждую неделю. В прихожей есть кладовка, Вы можете использовать её под гардеробную, хранить там одежду не по сезону, заготовки или оставлять велосипед Квартира на первом этаже – это возможность контролировать гуляющего во дворе ребенка или приглядывать за припаркованным авто.",60.615899,56.909372,Улучшенной,
1.0,Монолитный,45,Уктус,2016.0,2950000,"Продам евродвушку с ремонтом и мебелью в новом перспективном районе. В квартире остаётся всё основное для проживания, это шкаф-купе в коридоре. Угловой шкаф, трюмо, кровать в спальне. Кухонный гарнитур со встроенной техникой. В спальне установлен второй стеклопакет. Окна не запотевают, не продуваются с хорошей звукоизоляцией. Также новым владельцам отдадим ключ от парковочного места. Рассмотрим все варианты оплаты. Ипотека. Возможен обмен на 3к квартиру в центре(район Московской горки).",60.700475,56.77885500000001,Улучшенной,В
1.0,Монолитный,39,Академический,2010.0,3095000,"Светлая, уютная квартира на ""первой линии"" Академического, окна на солнечную сторону.",60.52419,56.791246,,Хорошее
1.0,,33,Компрессорный,2018.0,1800000,"Продам квартиру в новом жилом комплексе, с удобной планировкой - кухня-гостиная и отдельная спальня, санузел совмещен. Отделка ""под ключ"": на полу ламинат 32 класса, двухкамерные стеклопакеты, обои под покраску, межкомнатные двери установлены. Проведена слаботочная электропроводка, счетчики воды, электричества и тепла установлены. В закрытом дворе имеется прекрасная развивающая детская площадка для ваших детей. Жилой комплекс расположен в экологически чистом районе города - вокруг поселка лес, что обеспечивает жителям чистый воздух круглый год! В районе имеются две хорошие общеобразовательные школы, детские сады, спортивный комплекс Олимп. До центра города можно легко доехать на городской электричке или на машрутных автобусах.",60.764929,56.798906,,В
,Кирпичный,69,Центр,1999.0,6200000,"Квартира- Евро-двушка, освобождена, один хозяин, сделан капитальный ремонт. Кухня -гостиная 41 кв.м. на два окна, спальня, две гардеробные. все в идеальном состоянии, Поменяна сантехника, тубы, батареи, эл-во, стены, двери, окна. потолки натяжные, полы теплые. Под квартирой находится нежилое помещение- мед центр, поэтому возможна любая перепланировка. По фен-шуй очень правильное расположение квартиры, окна выходят на Восток. Тихий ,огороженный двор, видеонаблюдение , консьерж, машиноместо. Комунальные платежи летом 2000 р зимой 3000-3500 р. Машиноместо в подарок.",60.596828,56.832467,Индивидуальная,В
,Кирпичный,31,Автовокзал,1965.0,2250000,"Продаётся уютная квартира расположенная в тихом квартале недалеко от Южного Автовокзала и ст. метро Чкаловская. Дом расположен полностью во дворе, хотя находится в очень оживленном районе с развитой инфраструктурой и отличной транспортной развязкой.В шаговой доступности все, что душе угодно: детские сады, школы, поликлиники, магазины, Торговые центры, Фитнес клубы, весь общественный транспорт. До метро 5 минут ходьбы. Рядом парк «Зеленая Роща». Удобный выезд на все направления. Всегда есть место для парковки. Остались вопросы звоните и приходите смотреть!",60.604041,56.811128,,Требует
,Панельный,30,Уралмаш,1971.0,2250000,"Вы мечтаете о светлой и уютной квартире? Она ждет вас. Большая часть соседей живет давно. Подъезды утопают в цветах, а в теплое время года вас будут радовать клумбы у дома. Квартира расположена на 1 этаже. Состояние чистое приятное, ремонт делали для себя,перепланировка узаконена. Как только вы войдете, вас окутает атмосфера тепла, которая царит в квартире. Приходите , мы готовы обсудить все варианты расчетов и с радостью вам покажем все плюсы нашей квартиры.При желании поможем с ипотекой.",60.59713299999999,56.897866,,
1.0,Кирпичный,50,Уралмаш,2009.0,4800000,"Продается однокомнатная квартира на Уралмаше. Удобное месторасположение дома, вблизи ТЦ ""Стрелка"", много магазинов, аптек, остановки общественного транспорта во все направления города, 7 минут до метро. В квартире произведен качественный ремонт, пол ламинат, пластиковые стеклопакеты, санузел в кафеле. Установлены счетчики на свет и на воду. Один собственник, быстрый выход на сделку. Просмотры в любое удобное для Вас время по предварительной договоренности.",60.612485,56.892635,,
