balcony,walls,total_area,district,year,cost,description,lon,lat,type_house,repair
,Кирпичный,30,Втузгородок,1964.0,2600000,СРОЧНАЯ ПРОДАЖА!!!,60.662144,56.849772,,В
1.0,Монолитный,28,Уктус,2016.0,2450000,,60.700475,56.77885500000001,Студия,Хорошее
1.0,Кирпич,37,Ю-З,2015.0,3145000,"Продам отличную однокомнатную квартиру с большой кухней.В шаговой доступности расположены магазины, кафе, больницы, аптеки, детские сады и школы, остановки общественного транспорта. В 5-ти минутах езды - два крупных торгово-развлекательных центра ""Мега"" и ""Радуга парк"".",60.552244,56.82399100000001,Улучшенной,В
,Кирпичный,30,Елизавет,,1680000,"Продам 1-комнатную квартиру в кирпичном доме, район Елизавет. Квартира в обычном состоянии, поменяны трубы, установлены счётчики на воду и электричество, входная дверь железная. Чистый подъезд, благополучные соседи. Дом расположен во дворе, вокруг много зелени, есть парковочные места. Рядом с домом остановки транспорта, несколько аптек, множество разных магазинов, детский сад, школа. В квартире никто не прописан, чистая продажа, документы к сделке готовы! Возможны ипотека, мат.капитал, сертификаты. Звоните, покажем в любое время!",60.60863199999999,56.739934,,Требует
1.0,Панельный,37,ВИЗ,1990.0,3050000,Продается уютная и чистая квартира в районе виз,60.544627,56.822848,Улучшенной,Хорошее
1.0,Панельный,34,Эльмаш,,2390000,"Продам теплую, светлую 1-комнатную квартиру. Дом имеет отличную локацию, в шаговой доступности: школы, детские сады, магазины, аптеки...",60.634072,56.902683,Улучшенной,Хорошее
1.0,Бетонные,40,Вокзальный,2018.0,2869000,"Продам Однокомнатную квартиру - 40,3кв. м., в ЖК «Первый Николаевский», расположенном в Заречном районе, дом сдан. Двор – без машин. На территории будут установлены детские игровые комплексы, спортивные тренажеры, корты, зеленые аллеи для прогулок, видеонаблюдение по периметру всего дома. Строится подземный паркинг. На первом этаже будут — торговая галерея с аптекой, продуктовым магазином, медицинским центром и другими предприятиями сферы услуг.",60.59899300000001,56.856063,,
1.0,Панельный,28,Уктус,1966.0,2150000,"Дом расположен в тихом районе, ""во дворах"". Метро ""Ботаническая"" в 10-15 мин пешком. Рядом школа(№91), садик. У дома большая детская площадка, хоккейный корт. Сразу за домом платная стоянка и здание с различными детскими спортивными секциями. В шаговой доступности ТРЦ Глобус, Дельфинарий, кинотеатр, автобусные остановки. В квартире остаются два встроенных шкафа - в прихожей и в комнате. Квартира без обременений.",60.643235,56.788169,,
1.0,Бетонные,35,Автовокзал,1991.0,2900000,"Продается теплая , светлая , уютная квартира, со свежим ремонтом. В квартире стоит новая качественная кухня , встроенная техника (варочная поверхность, духовой шкаф, посудомоечная машина,вытяжка ) , все свежее, остается в подарок . Сделан ремонт в ванной комнате и туалете, установлена дорогостоящая сантехника. Поменяна проводка. Большая лоджия, очень удобно , выход из гостиной. Полноценная вместительная кухня. Просторная комната. Дом расположен в самом удобном по локации району (Автовокзал), метро , все виды транспорта в минутах ходьбы от дома. Школы , садики, аптеки,поликлиники , супермаркеты , спортивные , культурно-развлекательные центры - все рядом, в пешей доступности и на выбор жителей этого района. Хороший двор. Тихие соседи. Квартира полностью готова к продаже.",60.60582,56.816892,Улучшенной,
1.0,Кирпичный,33,Химмаш,,1890000,"Кирпичный дом! Просторная, светлая, теплая квартира с окнами на южную сторону и прекрасным видом. В квартире установлены счетчики воды, пол ламинат, балкон с остеклением. Чистый ухоженный подъезд, хорошие соседи. Во дворе детский сад, рядом школа. Около дома бассейн, школа искусств, магазины. Остановка транспорта в шаговой доступности. РАССМОТРИМ ВАРИАНТ ОБМЕНА на 2-х комнатную квартиру (хрущевку, брежневку) на Химмаше, желательно в этом же месте.",60.705461,56.75031,Улучшенной,
1.0,Монолитный,41,Ю-З,,3790000,"Продается однокомнатная квартира в кирпичном доме 2005 года постройки,спецпроект,с охраняемой придомовой парковкой.Дом расположен очень удачно,в тихом месте,окна выходят во двор, на солнечную сторону,в 5-ти минутах ходьбы от ул.Посадской,где любой городской автотранспорт, магазины и вся инфраструктура, а так же в 5-ти минутах ходьбы от ул.Московской. В шаговой доступности есть школа и детский сад. Квартира в хорошем состоянии, не так давно был сделан косметический ремонт, лоджия на два окна. Вся мебель,находящаяся в квартире,включая стиральную машину остается новым хозяевам. Подъезд чистый, свое ТСЖ в доме. Один собственник.Чистая продажа.",60.58117900000001,56.82198100000001,Улучшенной,Хорошее
1.0,Кирпич,38,УНЦ,2012.0,2850000,,60.550241,56.780359,Улучшенной,В
1.0,Кирпич,38,УНЦ,2012.0,2750000,Застройщик атомстройкомплекс.,60.550241,56.780359,Студия,В
1.0,Кирпичный,28,Уралмаш,1960.0,2150000,"ПРОДАМ уютную 1 комнатную квартиру. Район Белой башни. Тихий двор, семейные соседи.",60.571738,56.889562,,Требует
,Монолитный,51,Академический,2015.0,3250000,"В продаже 1 комнатная квартира в Академическом районе.Общая площадь 51 м. Кирпично-монолитный дом 2015 года постройки. В квартире установлен газовый котёл, что позволит Вам экономить на коммунальных платежах. Стоят счетчики на холодную и горячую воду. В квартире выполнен косметический ремонт, остаётся кухонный гарнитур. Отличный вариант для молодой семейной пары. Закрытый двор, детские площадки, охрана, видео наблюдение по периметру. В Академическом районе прекрасная инфраструктура, вокруг множество магазинов, торговый центр, много детских учреждений для развития. Все для активного отдыха и спорта. В шаговой доступности остановка общественного транспорта, позволит Вам добраться до центра города всего за 30 минут. Нужна ипотека? Помогу оформить с низкой ставкой от банков партнеров. Звоните и записывайтесь на просмотр в удобное для Вас время.",60.516887,56.798896,,
1.0,Панельный,40,Н.Сортировка,1984.0,2800000,"Вашему вниманию предлагается уникальная квартира - более 40 метров, в просторной комнате - 2 окна, выходят в тихий зеленый двор, в комнате остается в подарок покупателям вместительный новый шкаф-купе. Кухня правильной квадратной формы, плита газовая, из кухни выход на полулоджию, застекленную пластиковыми стеклопакетами, на кухне остается в подарок кухонный гарнитур. Санузел раздельный; и туалет, и ванная комната облицованы новой плиткой. Просторный коридор, в нем расположен еще один новый шкаф-купе. В квартире новая качественная сейф-дверь. Под окнами много зеленых насаждений и прекрасная цветущая яблоня. Квартира освобождена, документы готовы, один взрослый собственник, квартира не в залоге, быстрый выход на сделку, быстрое освобождение квартиры.",60.55673879999999,56.8643406,Улучшенной,В
1.0,Панельный,34,ВИЗ,1993.0,3300000,"Продается замечательная, 1-комнатная квартира Вашей Мечты.",60.54940600000001,56.826754,Улучшенной,
1.0,Кирпичный,33,Ботанический,2004.0,2820000,"Престижный кирпичный дом. Свой двор с детской и спортивной площадкой. Место для парковки. Цветущий бульвар с фонтаном! До метро 10 минут. Рядом : садики, школа, магазины. Квартира студия продается с мебелью. Освобождена. Никто не прописан. Этаж 11",60.621873,56.79203,Студия,Требует
1.0,Панельный,32,ВИЗ,1987.0,2500000,"Продаётся 1 комнатная квартира, р-н ВИЗ перекресток ул.Токарей/Крауля. Общая площадь 32,6/20/5, 3 этаж, окна выходят во двор, стоят пластиковые окна, балкон не застеклен. Совмещенный санузел, поменяны стояки, трубы, стоят счетчики на холодную и горячую воду. Квартира частично требует ремонта. Очень хорошая локация, в шаговой доступности продуктовые магазины, школы, детские сады. Рядом с домом остановка общественного транспорта, что позволит Вам добраться до центра города всего за 15 минут.В квартире 2 собственника никто не прописан. Возможна ипотека, помогу оформить с низкой ставкой.Звоните и записывайтесь на просмотрю в удобное для Вас время",60.559431,56.827646,,
1.0,Монолитный,36,ЖБИ,2015.0,3350000,"Продается квартира в Новом доме на ЖБИ. Плюсы квартиры в том, что она находится на 10 этаже, что не слишком высоко и не низко. Окна квартиры выходят на ТЦ Комсомол и Концерн Калина. При этом данные объекты, так же как и развязка дорог, достаточно удалены, чтобы не слышать шума машин и не дышать пылью. Вечерний вид из окон дома - самый лучший, который только может быть! В квартире хорошая мебель, современная кухня со встроенной техникой, все остается новому хозяину! В доме есть консьерж, видео-наблюдение, 4 скоростных лифта. С парковкой нет проблем, т.к. площадка перед домом очень большая - всем хватает места! Продает собственник, агентам просьба не беспокоить. Просмотры квартиры возможны в вечернее время по предварительной договоренности.",60.678961,56.8303,Индивидуальная,Хорошее
1.0,Монолитный,24,Широкая Речка,2018.0,2049000,"Квартира - студия с качественной отделкой ""под ключ"" (полы - ламинат, стены - обои под покраску, в сан. узле - кафель)",60.475241,56.793652,Студия,В
1.0,Панельный,28,ВИЗ,1970.0,2610000,"Продается отличная квартире в развитом районе города. Квартира очень теплая, окна во двор. Квартира в залоге Дельта-кредит банка.",60.545264,56.829187,Индивидуальная,В
1.0,Монолитный,41,Чермет,2018.0,2550000,"Продается однокомнатная квартира в новом доме ЖК «Три Д-клуб» Квартира теплая, светлая, с большой кухней и прихожей. Окна выходят на восток. В квартире частично выполнен ремонт. Поклеены обои, на кухне и в коридоре уложен ламинат. На лоджии поменяно ограждение на никелированное, в ванной выполнена разводка труб, установлен полотенцесушитель.Покупателям остаются стройматериалы (ламинат в комнату, плинтусы, кафельная плитка и клей. В составе ЖК бизнес-класса «Три Д-клуб» 3 24-этажных жилых дома с 3х-уровневой подземной парковкой на 450 мест, продуктовый гипермаркет, спортивный центр с бассейном и детскими площадками, площадки для игровых видов спорта. Во всех жилых домах предусмотрены закрытая дворовая территория, автономное теплоснабжение и подготовка горячей воды от газовых котельных, установленных на крыше, очистка воды, установлены счетчики на ГВС, ХВС, отопление, импортные скоростные грузовые и пассажирские лифты (4 шт.), современные системы коммуникаций и система безопасности. В доме есть консьерж. Своя ТСЖ. Прекрасная транспортная доступность. Один собственник. Покажем в удобное для вас время. ТОРГ!!!",60.596289,56.77608299999999,,Требует
1.0,Кирпичный,37,Чермет,1998.0,2650000,"Продам большую однокомнатную квартиру 37 м 2. Дом удачно расположен в центре района, в шаговой доступности все необходимые магазины, фитнес - клуб, школа, детский сад, больница. Имеется место для хранения коляски, велосипеда и т.д. Удобная транспортная развязка. Дом огражден забором. Есть бесплатная парковка.",60.613069,56.779491,,Хорошее
,Шлакоблочный,33,Химмаш,1954.0,1600000,"Внимание: требует капитального ремонта! Центр Химмаша, теплый кирпичный дом, средний этаж. Без балкона, торцевая.",60.70459,56.754697,Индивидуальная,Требует
,Панельный,28,ВИЗ,1971.0,2150000,"Объект N 111362. Продается уютная, аккуратная однокомнатная квартира. Установлены счетчики на воду и эл-во. На окнах решетки. В квартире есть просторная кладовая. Остается кухонный гарнитур. Чистый подъезд. Дом расположен вдали от дорог. Рядом школы, садик, общественный транспорт.",60.540539,56.83202900000001,,Хорошее
1.0,Бетонные,40,Академический,2013.0,3060000,ПРОДАЕТСЯ : отличная 1 комнатная квартира площадью 40 м2 + лоджия,60.509386,56.795416,,
,,31,Широкая Речка,2016.0,2150000,"Предлагаем вашему вниманию светлую, теплую квартиру-студию в новом доме ЖК Перемена - в одном из активно развивающихся районов Екатеринбурга – Широкая речка.",60.491365,56.796037,,В
1.0,Бетонные,48,Автовокзал,2008.0,4150000,"Вашему вниманию предлагается большая чистая 1к квартира 48 м2. Большая кухня, большая комната,большая гардеробная, лоджия.",60.647277,56.805037,,
1.0,Бетонные,38,Н.Сортировка,2013.0,2890000,"Продается ухоженная квартира, с просторной комнатой и большой кухней, в современном доме 2013 года постройки, в самом центре микрорайона. Рядом вся инфраструктура, общественный транспорт, магазины и т.д. Дом расположен во дворах (в квартире тихо и спокойно). У дома свой уютный закрытый двор под видеонаблюдением с вместительной парковкой для автомобилей, что очень удобно. Квартира находится в отличном состоянии, установлены стеклопакеты, в том числе на лоджии, качественные сейф-двери, ламинат, натяжные потолки, счетчики воды и электроэнергии. В стоимость квартиры входит встроенный кухонный гарнитур со всей бытовой техникой и шкаф на лоджии. Чистая продажа, документы готовы, ипотека возможна, один собственник, торг уместен, поможем с оформлением ипотеки.",60.55281899999999,56.863454,Индивидуальная,В
,,46,Автовокзал,2017.0,4290000,,60.637512,56.797531000000006,,
1.0,Монолитный,38,Академический,2018.0,3300000,"Продаю отличную однокомнатную квартиру! Окна во двор с красивым видом на парк.В доме бесшумный финский лифт фирмы KONE, со спуском в паркинг. Лестница без обходных лоджий и находится тут же в подъезде. Подъезд, двор и весь район под видеонаблюдением.Горизонтальная система отопления, с эффектом теплого пола. Низкие коммунальные платежи. Во дворе игровые площадки европейского производителя KOMPAN с высоким уровнем безопасности. Новый дом расположен на набережной в Преображенском квартале с выходом в большой «Преображенский парк» ландшафтным дизайном. Тихое и красивое место. Рядом с домом открылся новый детский сад, в шаговой доступности две современные школы.",60.520758,56.781996,,
1.0,Монолитный,29,Уралмаш,2015.0,3200000,"Объект N 110834. Продается квартира-студия с отличным ремонтом, сделанным из современных материалов. В подарок оставляем мебель и технику. Квартира хорошо подходит для молодой семьи, студентов и для сдачи в аренду. Приглашаем на просмотр!",60.606413,56.903936,Студия,В
1.0,Монолитный,36,УНЦ,2014.0,2575000,"Продается !!! спецпроект 2016 года (относится к Ленинскому району). Дом монолитный, расположен в тихом зеленом районе, в 5-ти минутах ходьбы пешком до остановки транспорта «Лесная» , «Рабочая» ориентир УНЦ - Академический микрорайон. Сделан капитальный ремонт - санузел - кафель, дорогие обои, радиаторы с регулировкой, есть возможность экономить на комм. услугах! Выход на лоджию из кухни, площадь лоджии - 5 кв.м. Отличный вид из окна, окна выходят на лес. В квартире установлены счетчики ХВС, ГВС, низкие коммунальные платежи. Квартира ухоженная комфортная, грамотная планировка! Прекрасные условия для жизни на свежем воздухе! Рядом сосновый парк. Большой, тихий двор, проблем с парковкой нет. Во дворе отличная детская площадка, спортивная площадка, чисто, аккуратно. В шаговой доступности все самое необходимое: в доме есть продуктовый магазин «Пятёрочка», в 20 -ти минутах находится торговый центр ""АКАДЕМИЧЕСКИЙ"", «КИТ», «ГРАНАТ», «ПАРАХОД», развлекательный центр «Кубик» , медицинский центр Art-Med, институт Геофизики ,фитнес клуб, лесополоса с тропой здоровья. Весь транспорт у дома – троллейбус № 14, автобус № 50,054,26,014,21. Чистая продажа, ипотека возможна. Юридически чистый объект! Звоните, покажем в любое удобное для Вас время. В подарок квартире остается кухонный гарнитур .",60.544932,56.77335600000001,,В
,Кирпич,42,Автовокзал,2007.0,3249000,"В сказочно-красивом и уютном месте, что на пер. Базовом д. 54, продаётся однокомнатная квартира. Удобная планировка рядом с ЦПКиО. Квартира светлая и тёплая. Стоят все счетчики (на воду и на эл. энергию). Завораживающий вид из окон! Просторная застекленная лоджия приятно удивит Вас не только своими размерами, но и панорамой на город! Есть своя газовая котельная. В доме три лифта. Уютный и чистый двор с большой детской площадкой, видеонаблюдение, охрана, 3 подземных паркинга, магазин, детская школа развития, фитнес. Дом находится в тихом и экологочески чистом районе, изолирован от шумных дорог, в 2 минутах от ЦПКиО им. Маяковского (свой отдельный вход в парк!). В шаговой доступности от дома остановка общественного транспорта, ТЦ Леруа Мерлен, метро Ботаническая 15 минут ходьбы.. и т. д. Чистая продажа!.. Документы готовы!.. Состояние квартиры - Заезжай и живи!.. Успевайте звоните!",60.647277,56.805037,,
1.0,Кирпичный,35,Химмаш,1974.0,2270000,"Очень выгодная цена!!!! Капитальный кирпичный дом, новые лифты. Квартира имеет преимуществ: высокий этаж, большая лоджия, кухня 10м, есть отдельное помещение под гардероб. Требует косметического ремонта.",60.703619,56.750265,Улучшенной,Хорошее
1.0,Монолитный,38,Н.Сортировка,2012.0,2680000,"Прекрасная квартира в новом доме. Шикарный вид на пруд, Южная сторона. Охраняемая территория, Рядом школа, детский сад. Приличные соседи.",60.540809,56.867562,Улучшенной,Требует
1.0,Бетонные,28,Ботанический,2019.0,2440000,"Продается отличная студия 28 м2 с балконом, на Ботанике.",60.606997,56.792015,,
1.0,Кирпичный,33,Чермет,1974.0,2150000,"Продаётся светлая( окна во двор- юго- запад), тёплая 1- комнатная квартира в кирпичном доме. Секция на 3- и квартиры. Во дворе - парковочные места. Хорошая инфраструктура. Один собственник! Документы готовы! Торг",60.60564,56.77520500000001,Улучшенной,Требует
1.0,,38,Эльмаш,2017.0,2950000,Квартира с шикарным видом. Комплексное освоение территории создает собственную окружающую среду.,60.62220500000001,56.905937,,Хорошее
1.0,Монолитный,37,УНЦ,2016.0,2890000,ШИКАРНАЯ КВАРТИРА С ПАНОРАМНЫМ ВИДОМ ИЗ ОКНА,60.544249,56.772966,Улучшенной,В
,Кирпичный,30,Эльмаш,1962.0,2100000,ID объекта в нашей базе: 2390,60.618235,56.889936,,Требует
1.0,Кирпич,34,Солнечный,2019.0,2495000,"Продается отличная квартира в новом доме, расположенном в активно развивающемся европейском районе Солнечный.",60.569779,56.748015,Студия,В
1.0,Панельный,48,С.Сортировка,1997.0,3250000,,60.50981700000001,56.876008,Улучшенной,Хорошее
1.0,Монолитный,35,Н.Сортировка,2007.0,3000000,Продается уютная однокомнатная квартира в тихом районе.,60.561686,56.862666,,Хорошее
1.0,Монолитный,46,УНЦ,2015.0,2540000,"Предлагаем к продаже отличную, светлую, просторную однокомнатную квартиру в новом доме. Оптимальное жилье для каждого независимо от возраста, профессии и привычек. Дом оснащен пассажирским и грузовым лифтами Всегда чисто, моют этажи каждую неделю. Соседи отзывчивые и дружные, вы всегда можете обратиться к ним за помощью. Придомовая территория оборудована парковочными местами и детской площадкой. Все необходимое рядом: магазины, супермаркеты, аптеки, школы и дошкольные учреждения, остановки общественного транспорта.",60.547366,56.786232,,
,Кирпичный,31,Химмаш,1965.0,1870000,"Уютная, чистая, теплая, тихая и светлая квартира. Дом расположен в центре микрорайона, в стороне от шумных магистралей. Развитая инфраструктура - здесь есть все, в шаговой доступности детские сады, школы, магазины, банки, торговые центры, медицинские учреждения, кинотеатр, фитнес-клуб, бассейн. Остановки транспорта в 3-4 минутах ходьбы.",60.700754,56.75105500000001,Индивидуальная,В
1.0,Кирпич,43,Н.Сортировка,2015.0,3200000,"Продам однокомнатную квартиру на Новой Сортировке, Железнодорожный район.",60.547016000000006,56.871611,,Хорошее
1.0,Другой,28,Втузгородок,2017.0,2600000,"Продается апартаменты - студия , в отличном состоянии, с новой мебелью и бытовой техникой ,дом сдан в конце 2017 года. Закрытая территория, видеонаблюдение,развитая инфраструктура, рядом остановки общественного транспорта, школы, детские сады и магазины. Отличный вариант для молодой семьи и сдачи в аренду! Ипотека возможна. Дом новый, район с хорошей инфраструктурой. В десяти минутах ходьбы детская и взрослая поликлиники, детский сад и школа Верхний этаж в новом доме – это большое преимущество. Технический этаж исключает протечки с крыши, нет дискомфорта от шагов соседей сверху, и, бесспорно – отличный пейзаж за окнами. Из окон открывается прекрасная панорама",60.663572,56.837583,,
,Кирпичный,32,Чермет,1983.0,1750000,ID объекта в нашей базе: 5960,60.610177,56.762829,Индивидуальная,Хорошее
1.0,Панельный,35,Чермет,,2570000,"Однокомнатная квартира с удобной перепланировкой, имеется кладовая( использовать можно как хозяйственную комнату).Удобная транспортная инфраструктура",60.606098,56.754697,,
1.0,Монолитный,38,УНЦ,1991.0,2550000,"Косметический ремонт, европакеты, кладовка - гардеробная, стационарный телефон, интернет.",60.547052,56.78171500000001,Улучшенной,Хорошее
1.0,Монолитный,37,Уктус,2018.0,3080000,"В продаже однокомнатная квартира с кухней-гостиной и комнатой. В жилом комплексе ""Шишимская горка"". Просторный двор, закрытый от машин, шума и посторонних людей, оборудован современной детской площадкой и местами отдыха для взрослых. В ближайшее время во двор высадят более 25 видом растений. Также новых собственников порадует инфраструктура района и транспортная доступность: школа, детский сад, поликлиника, ТРЦ ""Глобус"", аквапарк, ледовая арена, дельфинарий, лесопарковая зона с горнолыжными, беговыми трассами и теннисным клубом, остановка общественного транспорта в шаговой доступности, 15-20 минут до пешком метро. Квартира без обременений. Помогу оформить по сниженной ставке! Ждем на просмотр!",60.648319,56.784028,,
1.0,Панельный,30,Эльмаш,1980.0,2240000,"Собственник!!! Обременений нет!! Один собственник !!! Чистая продажа!!!! Торг!!! Квартира в тихом районе Эльмаша. Рядом с любым транспортом, от метро 15-20 минут. Тихий двор, спокойные соседи. Кооперативный дом, со своей УК. И своей бухгалтерией. Все прозрачно в коммунальных услугах!! В квартире остаётся вся мебель и техника! Светлая чистая квартира, можно заехать и жить!!",60.634198,56.893205,,Хорошее
1.0,Монолитный,44,Уралмаш,2015.0,3150000,ЧИСТАЯ ПРОДАЖА. ОДИН ВЗРОСЛЫЙ СОБСТВЕННИК. НИКТО НЕ ПРОПИСАН. ОСВОБОЖДЕНА.,60.61061700000001,56.914532,Индивидуальная,Хорошее
1.0,Кирпичный,33,Эльмаш,1978.0,1940000,"Документы готовы, ипотека возможна. Квартира теплая, дом кирпичный, уютный двор, метро рядом, соседи спокойные. Отличный вариант для комфортной жизни в большом городе! Марат.",60.615638,56.905037,,Хорошее
1.0,Бетонные,36,Широкая Речка,2016.0,2750000,"Продается однокомнатная квартира Застройщик Атомстройкомплекс, материал стен монолит+кирпич. Дом сдан в 2017 году. Закрытый, оборудованный двор с детской площадкой, без машин. Квартира светлая и теплая, комната правильной прямоугольной формы, что позволяет расставить всю мебель.В квартире остается кухонный гарнитур,кровать,стиральная машина.",60.495022,56.80098100000001,,
1.0,Кирпич,51,Автовокзал,2017.0,4300000,"СРОЧНО!!!!!В продаже последние квартиры по привлекательной цене!!!Продается однокомнатная квартира в небоскребе с видом на ЦПКиО. Элитный жилой комплекс, соответствующие соседи. Закрытая территория. Подземный паркинг. Выход к набережной. До центра 10 минут. Зона ресепшн с консьержем и охраной,с work зоной,кофейней прямо в доме.Удачная планировка-ликвидная.Отделка под чистовую,для своего дизайн проекта на любой вкус. Способы покупки: Ипотека от ведущих банков Наличный расчет Рассрочка trade-in Звоните!!!",60.630479,56.813754,Индивидуальная,В
1.0,Кирпич,45,УНЦ,2019.0,3540000,Квартира с чистовой отделкой!,60.549145,56.785167,,В
1.0,Монолитный,34,Елизавет,2009.0,1990000,ID объекта в нашей базе: 616,60.61774000000001,56.755946,Индивидуальная,Требует
1.0,Монолитный,37,Академический,2014.0,2920000,Продаётся тёплая и светлая однокомнатная квартира в Академическом.,60.517372,56.794835,Улучшенной,В
1.0,Кирпичный,32,Эльмаш,,2390000,"Продается однокомнатная квартира в кирпичном доме улучшенной перепланировки! Инфраструктура района очень развита — есть все необходимое для комфортного проживания! В шаговой доступности детские сады, школа, продуктовые магазины, ДК «Эльмаш», парк отдыха, все виды транспорта, метро в 10 минутах ходьбы. В квартире большая лоджия, просторная кухня, окна выходят во двор. Ипотека возможна, торг уместен! На эту квартиру действует специальное предложение от Сбербанка - дисконт -0,3 на % ставку по ипотеке, а так же одобрение без отчета об оценки!",60.62849300000001,56.894248,Улучшенной,Хорошее
1.0,Кирпич,43,Автовокзал,2015.0,4399000,Ищите привлекательную квартиру с исключительно комфортными параметрами для проживания?,60.601966,56.80206999999999,Индивидуальная,В
1.0,,37,Широкая Речка,2014.0,2660000,Продается 1 ком кв. Закрытый двор дома. В квартире есть подвальное помещение около 20 кв.м.,60.470785,56.787632,,Требует
1.0,Бетонные,27,ВИЗ,1970.0,2650000,Чистая продажа. Ипотека возможна. Юридически чистый объект,60.545354,56.827641,,Хорошее
,Монолитный,34,Солнечный,2019.0,2725000,О магии цифр и счастливом районе!,60.566572,56.74572,Студия,В
,Панельный,29,Центр,1963.0,2600000,Предлагаю Вашему Вниманию!Уникальную Однокомнатную квартиру!В центре города!С возможностью перевести в нежилое помещение!,60.63276,56.836234,,
1.0,Панельный,40,Синие Камни,1988.0,2900000,Вашему вниманию предлагается большая однокомнатная квартира с современным ремонтом!,60.665423,56.828,Улучшенной,
,Кирпичный,30,С.Сортировка,,2070000,ID объекта в нашей базе: 659,60.51846800000001,56.87470500000001,Индивидуальная,Хорошее
,Панельный,30,Ю-З,1965.0,2280000,"Продаем 1 комнатную квартиру. Пластиковые окна. В квартире выполнен косметический ремонт. По все квартире установлены пластиковый окна, в комнате 2 окна, установлены счетчики электро, ХВС, ГВС. Первый этаж – высокий. Тихий, чистый подъезд, спокойные соседи. Нет проблем с парковкой. Дом далеко от проезжей части, ухоженная придомовая территория, кругом зеленые насаждения. В шаговой доступности школы, детские сады, магазины. Удачная транспортная развязка 10-15 минут и вы в центре города! Один взрослый собственник, ипотека возможно,никто не прописан, быстрый выход на сделку.",60.569321,56.819622,,Хорошее
1.0,Кирпичный,30,Эльмаш,1987.0,2190000,"Объект N 110591. Продается хорошая, светлая квартира в 8 минутах ходьбы от метро! Магазины, развлечения, школы- всё в пешей доступности. Тихий двор с детской площадкой. Отличный вариант для тех, кто хочет сделать ремонт для себя! Квартира без обременений, один собственник, быстрый выход на сделку!",60.622888,56.896966000000006,Улучшенной,
1.0,Панельный,27,Пионерский,1969.0,2170000,"Продается теплая однокомнатная квартира. В квартире установлены пластиковые окна, потолок в комнате натяжной, на полу ламинат, в сан. узле кафельная плитка, трубы поменяны. Удобная транспортная развязка - до центра 10 минут. В шаговой доступности гимназия, детские сады, спортивно-оздоровительный комплекс, торговые центры.Без торга.",60.633245,56.854,,Хорошее
,Кирпичный,32,Чермет,1983.0,1750000,"СРОЧНО ПРОДАМ (в связи с переездом в другой город) 1-к. квартиру, общая площадь 32 м, жилая 20 м, кухня 5,5 м, 1/5 этажный. Дом кирпичный, 1983 года постройки.",60.610222,56.762843,,Хорошее
